"Titularidad","Nombre","Dirección","CP","Municipio","Teléfono","Plazas","URL","Latitud","Longitud","Actualizado","Provincia"
"Privada","Residencia Lasarte Amets","Calle Mendia 20","01194","Vitoria-Gasteiz","945 33 84 07 / 630 62 52 03",19,NA,42.816595,-2.691847,"6-02-20 00:14:44","Álava"
"Pública local","Vivienda comunitaria La Barbacana","Paseo de la Cigüeña s/n","01300","Laguardia","945 60 08 05",14,"www.gsr.coop/viviendas-comunitarias/viviendas-comunitarias-en-laguardia",42.55135,-2.583855,"27-03-20 00:14:44","Álava"
"Pública provincial","Residencia Nuestra Señora de las Viñas","Carretera de Moreda s/n","01320","Oyón-Oion","945 62 26 20",30,NA,42.506384,-2.433136,"9-04-20 00:14:44","Álava"
"Privada","Vivienda comunitaria Zirauntza","Calle Eduardo Dato 31 - 1º B-D","01005","Vitoria-Gasteiz","945 13 38 10 / 687 45 00 26",12,"www.residenciazirauntza.com",42.843268,-2.672339,"14-03-20 00:14:44","Álava"
"Privada","DomusVi Gazalbide","Calle Juana Jugán 1","01009","Vitoria-Gasteiz","945 22 30 11",150,NA,42.85495,-2.685212,"18-07-20 00:14:44","Álava"
"Privada","Residencia Agure Salburua","Avenida Juan Carlos I 19 - A","01002","Vitoria-Gasteiz","945 00 16 62",14,NA,42.854929,-2.651871,"5-06-20 00:14:44","Álava"
"Privada","Residencia Ascarza","Calle Ascartza 7","01193","Vitoria-Gasteiz","945 29 35 35",32,NA,42.840953,-2.612413,"6-02-20 00:14:44","Álava"
"Pública provincial","Residencia Samaniego","Calle El Ochavo 37","01307","Samaniego","945 60 92 50",48,NA,42.569667,-2.678415,"9-04-20 00:14:44","Álava"
"Pública local","Vivienda comunitaria de Campezo","Calle Arrabal 5","01110","Campezo/Kanpezu","945 41 51 81",14,"www.gsr.coop/viviendas-comunitarias/viviendas-comunitarias-en-campezo",42.693256,-2.395938,"20-05-20 00:14:44","Álava"
"Privada","Residencia de 3ª edad Nuestra Señora de Okon","Carretera de Santa Cruz 57","01118","Bernedo","945 37 82 98",38,"www.gsr.coop/residencias-de-personas-mayores/residencias-de-personas-mayores-en-bernedo",42.62878,-2.493254,"29-04-20 00:14:44","Álava"
"Privada","Residencia 3ª edad San Antonio","Calle Manuel Iradier 29 - 1º","01005","Vitoria-Gasteiz","945 14 81 25",14,NA,42.842082,-2.670479,"7-07-20 00:14:44","Álava"
"Pública local","Apartamentos Beato Tomás de Zumárraga","Calle Beato Tomás de Zumárraga 1 - H","01008","Vitoria-Gasteiz","945 16 11 08",40,"www.vitoria-gasteiz.org/we001/was/we001Action.do?idioma=es&aplicacion=wb021&tabla=contenido&uid=_21361ee7_1243262b4bb__7fbf",42.849447,-2.676192,"6-07-20 00:14:44","Álava"
"Privada","Residencia Lorea Adurtza","Plaza de los Naipes 13 - 15","01006","Vitoria-Gasteiz","665 72 93 30 / 607 44 83 93",19,NA,42.838406,-2.663721,"7-02-20 00:14:44","Álava"
"Privada","Vivienda comunitaria Mikelats","Calle Agurain 3","01240","Alegría-Dulantzi","945 40 07 34",11,NA,42.842321,-2.515096,"19-07-20 00:14:44","Álava"
"Privada","Residencia Lorea - Txagorritxu, S. L.","Calle José Achotegui 26 - 1º A","01009","Vitoria-Gasteiz","945 22 79 89",23,NA,42.85651,-2.688998,"9-04-20 00:14:44","Álava"
"Pública provincial","Residencia San Roque","Calle Zumalakarregi 63","01400","Laudio/Llodio","946 72 97 50",50,NA,43.140861,-2.965925,"3-04-20 00:14:44","Álava"
"Pública local","Apartamentos tutelados de mayores Ramiro de Maeztu","Calle Ramiro de Maeztu 21","01008","Vitoria-Gasteiz","945 16 11 80",26,"www.vitoria-gasteiz.org/we001/was/we001Action.do?idioma=es&aplicacion=wb021&tabla=contenido&uid=_21361ee7_1243262b4bb__7fbf",42.849593,-2.678348,"7-07-20 00:14:44","Álava"
"Pública local","Residencia de mayores Arquillos","Paseo de los Arquillos 11","01001","Vitoria-Gasteiz","945 16 11 40 / 945 16 11 41",21,NA,42.84734,-2.671232,"8-04-20 00:14:44","Álava"
"Privada","Residencia Agure Ricallor","Calle Bulevard de Salbura 54 - 56 bajo","01003","Vitoria-Gasteiz","945 10 90 90",17,NA,42.843856,-2.650214,"7-02-20 00:14:44","Álava"
"Privada","Residencia Tagore","Paseo de Berlín 15 A","01002","Vitoria-Gasteiz","945 13 06 69",48,"www.residenciatagore.com",42.855642,-2.650598,"10-05-20 00:14:44","Álava"
"Privada","Vivienda comunitaria María Teresa Landa","Avenida Nuestra Señora de Estíbaliz 16 - bajo","01003","Vitoria-Gasteiz","945 27 78 84 / 686 48 39 90",12,NA,42.843857,-2.663731,"22-04-20 00:14:44","Álava"
"Privada","Residencia LOVI","Calle Elorriaga 46 - bajo","01192","Vitoria-Gasteiz","945 27 02 63",36,NA,42.849624,-2.642058,"8-04-20 00:14:44","Álava"
"Privada","Residencia Arcaya","NA Arcaya 19","01193","Vitoria-Gasteiz","945 29 31 63",22,NA,42.841422,-2.634129,"9-04-20 00:14:44","Álava"
"Pública local","Vivienda comunitaria de Asparrena","Calle Herriko Enparantza 12","01250","Asparrena","945 31 45 47",12,"www.asparrena.eus/servicios-sociales/vivienda-comunitaria-protegida",42.889579,-2.317494,"14-03-20 00:14:44","Álava"
"Privada","Vivienda comunitaria Santa Clara","Calle Manuel Iradier 27 - 1º D","01005","Vitoria-Gasteiz","945 13 15 56",7,NA,42.842111,-2.670765,"18-02-20 00:14:44","Álava"
"Privada","Residencia Ariñez","Calle Entzia 26","01195","Vitoria-Gasteiz","945 35 41 46",58,"www.arinezresidencia.com",42.826368,-2.755124,"3-04-20 00:14:44","Álava"
"Pública provincial","Residencia Txagorritxu","Calle Méjico 11","01009","Vitoria-Gasteiz","945 24 49 00",150,NA,42.853371,-2.687826,"10-04-20 00:14:44","Álava"
"Privada","Vivienda comunitaria Otazu","NA Otazu 37","01194","Vitoria-Gasteiz","945 29 35 56",14,"www.residenciaotazu.com",42.831077,-2.628383,"15-04-20 00:14:44","Álava"
"Privada","Residencia Roure","Calle Jerónimo Roure 26 - bajo","01010","Vitoria-Gasteiz","945 30 35 21",24,"www.residenciaroure.com",42.851185,-2.694724,"9-04-20 00:14:44","Álava"
"Pública local","Centro integral de atención a mayores San Prudencio","Calle Francia 35","01002","Vitoria-Gasteiz","945 16 17 05",171,NA,42.849715,-2.669361,"10-07-20 00:14:44","Álava"
"Privada","Vivienda comunitaria Estíbaliz","Calle Los Herrán 1 - 1º izda.","01002","Vitoria-Gasteiz","945 28 39 01",5,NA,42.843292,-2.664621,"18-02-20 00:14:44","Álava"
"Pública provincial","Residencia Zadorra","Calle Iturrizabala 50","01013","Vitoria-Gasteiz","945 27 39 67",100,NA,42.876962,-2.677528,"9-04-20 00:14:44","Álava"
"Pública local","Residencia de mayores Aurora","Calle Correría 56 - 58","01001","Vitoria-Gasteiz","945 16 11 76 / 945 16 11 77",41,"www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&idioma=es&uid=_21361ee7_1243262b4bb__7f95",42.848323,-2.673558,"5-04-20 00:14:44","Álava"
"Privada","Vivienda comunitaria Ikatzbizi","Avenida Reina Sofía 110 - bajo","01015","Vitoria-Gasteiz","945 24 42 26",14,NA,42.841594,-2.70208,"1-06-20 00:14:44","Álava"
"Pública provincial","Residencia San Antón de Armuru","Calle Intxaurdio 3","01470","Amurrio","945 89 10 11",40,NA,43.055627,-2.998724,"23-04-20 00:14:44","Álava"
"Privada","Residencia Aitoa Etxea","Calle Pedro Asúa 53 - 55, 1º dcha. e izda.","01008","Vitoria-Gasteiz","945 22 76 87",19,NA,42.846446,-2.690462,"23-04-20 00:14:44","Álava"
"Privada","Residencia Elorri","Calle Elorriaga 42","01192","Vitoria-Gasteiz","945 20 47 24",39,NA,42.849778,-2.639965,"6-07-20 00:14:44","Álava"
"Privada","Residencia Casa Vasca","Calle Elorriaga 21 A","01192","Vitoria-Gasteiz","945 33 65 22",16,NA,42.851694,-2.63919,"10-07-20 00:14:44","Álava"
"Privada","Residencia Villodas","Calle Iruña 13","01195","Iruña Oka/Iruña de Oca","945 36 40 95",23,"www.arinezresidencia.com",42.835305,-2.784751,"3-04-20 00:14:44","Álava"
"Privada","Residencia Lakua","Calle Portal de Foronda 15 - bajo","01010","Vitoria-Gasteiz","945 06 86 11",16,NA,42.860671,-2.683618,"9-05-20 00:14:44","Álava"
"Privada","Residencia Zelaizabal","Calle Arkaute 24","01192","Vitoria-Gasteiz","945 27 29 47",26,"residenciazelaizabal.com",42.850644,-2.634362,"9-04-20 00:14:44","Álava"
"Privada","Vivienda comunitaria Ullibarri Arrazua","Calle Ullibarri - Arrazua 27","01520","Vitoria-Gasteiz","945 29 34 17",11,"www.residenciaullibarri.com",42.887326,-2.592633,"8-04-20 00:14:44","Álava"
"Pública local","Apartamentos Blas de Otero","Calle Amadis 1","01010","Vitoria-Gasteiz","945 16 16 67",33,"www.vitoria-gasteiz.org/we001/was/we001Action.do?idioma=es&aplicacion=wb021&tabla=contenido&uid=_21361ee7_1243262b4bb__7fbf",42.862258,-2.687452,"8-05-20 00:14:44","Álava"
"Privada","Vivienda comunitaria 3ª edad Residencia Panticosa","NA Astegieta 4","01191","Vitoria-Gasteiz","945 25 60 51",9,NA,42.861385,-2.73121,"18-04-20 00:14:44","Álava"
"Pública local","Apartamentos tutelados de mayores Aurora","Calle Correría 57","01001","Vitoria-Gasteiz","945 16 11 81",15,"www.vitoria-gasteiz.org/we001/was/we001Action.do?idioma=es&aplicacion=wb021&tabla=contenido&uid=_21361ee7_1243262b4bb__7fbf",42.848354,-2.673664,"7-07-20 00:14:44","Álava"
"Privada","Vivienda comunitaria Aitona","Calle Río Urederra 33","01010","Vitoria-Gasteiz","945 19 74 35",9,NA,42.867906,-2.702056,"23-04-20 00:14:44","Álava"
"Privada","Vivienda comunitaria Mikel Anitua","Calle Bide Zaharra 10","01240","Alegría-Dulantzi","945 40 09 59",14,NA,42.839502,-2.512326,"17-04-20 00:14:44","Álava"
"Privada","Residencia 3ª edad San Francisco Javier","Calle Parrate 8","01520","Arratzua-Ubarrundia","945 29 99 33 / 616 47 14 91",14,"www.residencia-ancianos-alava.es/residencial.html",42.917264,-2.61726,"12-07-20 00:14:44","Álava"
"Privada","Residencia Agure Zabalgana","Calle Océano Atlántico 29 - 35","01010","Vitoria-Gasteiz","945 10 77 88",25,NA,42.849409,-2.700431,"8-04-20 00:14:44","Álava"
"Pública local","Apartamentos Santa María de Olárizu","Calle Juan Bautista Gámiz 10 - 12","01006","Vitoria-Gasteiz","945 16 11 85",64,"www.vitoria-gasteiz.org/we001/was/we001Action.do?idioma=es&aplicacion=wb021&tabla=contenido&uid=_21361ee7_1243262b4bb__7fbf",42.838545,-2.664252,"4-04-20 00:14:44","Álava"
"Privada","Residencia Geriátrica Gaztelu","Calle Isarte 16","01206","Barrundia","945 30 70 59",19,"www.residenciageriatricagaztelu.com",42.87005,-2.500426,"14-03-20 00:14:44","Álava"
"Privada","Residencia Betania Garden","Calle Gardelegui 24","01194","Vitoria-Gasteiz","945 71 61 80",24,NA,42.824514,-2.676992,"10-05-20 00:14:44","Álava"
"Privada","Residencia Jesús Guridi","Calle San Prudencio 9 - 1º dcha.","01007","Vitoria-Gasteiz","945 23 25 62",16,NA,42.844194,-2.673061,"29-04-20 00:14:44","Álava"
"Pública provincial","Residencia Sallurtegi","Calle Lapurdi 7","01200","Agurain/Salvatierra","945 31 24 41",50,NA,42.851977,-2.387561,"21-06-20 00:14:44","Álava"
"Privada","Residencia Perpetuo Socorro de Rivabellosa","Calle Postas 34","01213","Ribera Baja/Erribera Beitia","945 35 50 92",34,NA,42.712269,-2.914498,"20-09-20 00:14:44","Álava"
"Privada","Vivienda comunitaria Araba","Kalea Brasil 6 - 1º","01012","Vitoria-Gasteiz","945 27 02 97",10,NA,42.858901,-2.678583,"18-02-20 00:14:44","Álava"
"Privada","Vivienda Comunitaria San Esteban de Betoño","Calle Legazpi 62 - bajo","01013","Vitoria-Gasteiz","945 25 52 06",14,NA,42.862451,-2.654512,"16-04-20 00:14:44","Álava"
"Pública local","Vivienda comunitaria de Espejo","Calle Saturnina Salazar s/n","01423","Valdegovía/Gaubea","945 35 12 17",10,"www.araba.eus/cs/Satellite?c=IFBS_Centro_FA&cid=500002153380&pageid=500002131323&pagename=IFBS%2FIFBS_Centro_FA%2FIFBS_centro",42.809474,-3.048538,"9-05-20 00:14:44","Álava"
"Pública provincial","Residencia Ajuria","Calle Serafín Ajuria 4","01008","Vitoria-Gasteiz","945 22 53 50",108,"www.araba.eus/cs/Satellite?c=IFBS_Centro_FA&cid=500002154406&language=es_ES&pageid=500002131297&pagename=IFBS%2FIFBS_Centro_FA%2FIFBS_centro",42.849196,-2.684477,"8-04-20 00:14:44","Álava"
"Pública provincial","Vivienda comunitaria psicogeriátrica","Calle Pablo Neruda 5","01009","Vitoria-Gasteiz","945 22 54 31",14,NA,42.852837,-2.690153,"10-04-20 00:14:44","Álava"
"Privada","Residencia Maskuribai","Calle Maskuribai 7 C","01470","Amurrio","945 06 62 12 / 945 06 62 10 / 629 56 57 05",15,NA,43.048857,-2.999902,"16-05-20 00:14:44","Álava"
"Privada","Residencia Gorbea","Carretera de Domaiquia 8","01130","Zuia","945 43 04 45",68,"www.residenciagorbea.com",42.953872,-2.817402,"30-04-20 00:14:44","Álava"
"Pública local","Apartamentos tutelados de mayores Bizia","Calle Pablo Neruda 1 - 3","01009","Vitoria-Gasteiz","945 16 11 79",24,"www.vitoria-gasteiz.org/we001/was/we001Action.do?idioma=es&aplicacion=wb021&tabla=contenido&uid=_21361ee7_1243262b4bb__7fbf",42.852644,-2.689217,"9-05-20 00:14:44","Álava"
"Pública provincial","Centro de atención a personas mayores Ariznabarra","Calle Teodoro González de Zárate 14","01007","Vitoria-Gasteiz","945 15 09 60",140,"www.domusvi.es/residencia-mayores-alava-vitoria-gasteiz-ariznabarra",42.839684,-2.695582,"4-06-20 00:14:44","Álava"
"Pública local","Vivienda comunitaria Los Molinos","Calle Los Molinos 2","01006","Vitoria-Gasteiz","945 16 16 20 / 945 16 16 21",30,NA,42.836913,-2.663539,"8-04-20 00:14:44","Álava"
"Privada","Residencia Hogar Larrea","Barrio Etxebiarte 2","01208","Barrundia","945 30 72 02 / 646 75 28 40",14,"www.residenciahogarlarrea.com",42.91783,-2.459014,"7-02-20 00:14:44","Álava"
"Privada","Vivienda comunitaria Zabalbide","Calle Ugarte 10 - bajo","01440","Urkabustaiz",NA,14,NA,42.952195,-2.898444,"10-06-20 00:14:44","Álava"
"Privada","Residencia Orobide","Calle Domingo de Sautu 54","01130","Zuia","945 43 09 31",43,NA,42.957114,-2.824688,"14-02-20 00:14:44","Álava"
"Privada","Residencia Zubitxu","Calle Zubitxu 4","01207","San Millán/Donemiliaga","945 30 19 28",24,"www.residenciazubitxu.com",42.836273,-2.455872,"4-04-20 00:14:44","Álava"
"Privada","Residencia Alday","Barrio La Llana 6","01476","Ayala/Aiara","945 39 90 23",38,NA,43.075379,-3.041483,"4-04-20 00:14:44","Álava"
"Privada","Residencia La Encina Artziniega","Calle Puerta de la Villa 2","01474","Artziniega","945 39 69 08",52,"www.residencialaencina.com",43.121269,-3.130705,"5-04-20 00:14:44","Álava"
"Privada","Residencia El Jardín 2","Calle Kirkirgan 5","01140","Zigoitia","945 46 00 81",24,NA,42.914417,-2.711023,"14-02-20 00:14:44","Álava"
"Privada","Residencia Aiara","Calle Irabien 10","01409","Okondo","945 89 80 61",22,NA,43.158868,-3.026302,"11-07-20 00:14:44","Álava"
"Privada","Hospital de Cuidados San Onofre","Calle Salvatierrabide 9","01007","Vitoria-Gasteiz","945 14 21 00",62,"www.hospitalsanonofre.com",42.836937,-2.680485,"11-04-20 00:14:44","Álava"
"Privada","Vivienda comunitaria Murua","Calle Telleria 6","01138","Zigoitia","945 22 52 26",8,"residenciamurua.com",42.977737,-2.736029,"18-04-20 00:14:44","Álava"
"Privada","Caser Residencial Alto del Prado","Camino Alto del Prado s/n","01007","Vitoria-Gasteiz","945 15 42 15",158,"www.caseresidencial.es/alto-del-prado",42.837209,-2.692267,"4-04-20 00:14:44","Álava"
"Privada","Residencia Albertia Campus","Calle Nieves Cano 29 C - bajo dcha.","01006","Vitoria-Gasteiz","945 77 89 16",46,"www.albertiacentros.com",42.838427,-2.67153,"4-04-20 00:14:44","Álava"
"Pública local","Vivienda comunitaria San Mamés Etxea","Camino de Etxegoien 17 - bajo","01470","Amurrio","945 89 24 13",8,NA,43.050186,-3.006848,"13-03-20 00:14:44","Álava"
"Pública local","Apartamentos para mayores San Antonio","Calle San Antonio 28","01005","Vitoria-Gasteiz","945 16 11 83",26,"www.vitoria-gasteiz.org/we001/was/we001Action.do?idioma=es&aplicacion=wb021&tabla=contenido&uid=_21361ee7_1243262b4bb__7fbf",42.842139,-2.674579,"15-07-20 00:14:44","Álava"
"Privada","Residencia de Mayores Don Quijote","Calle Cervantes 2","02250","Abengibre","967 47 15 64",57,"www.sercoama.com",39.211072,-1.543861,"2019-04-16 00:00:00","Albacete"
"Pública autonómica","Residencia de mayores El Robledillo","Avenida de La Mancha 3","02600","Villarrobledo","967 13 78 25",120,"residencias.ilunion.com/servicios/centros-de-dia-estancias-diurnas/castilla-la-mancha-albacete/villarrobledo-residencia-para",39.2698,-2.61895,"2019-04-08 00:00:00","Albacete"
"Pública autonómica","Residencia La Paz","Avenida de la Constitución 59","02316","Salobre","967 39 32 92",43,NA,38.594891,-2.552516,"2019-04-09 00:00:00","Albacete"
"Privada","Residencia de 3ª Edad Santa Teresa","Plaza de San Felipe Neri 2","02002","Albacete","967 51 14 34",60,"www.residenciasantateresa.com",38.985346,-1.856621,"2019-04-03 00:00:00","Albacete"
"Privada","Residencia Nuestra Señora del Carmen","Calle San Sebastián 1","02610","Bonillo (El)","967 37 00 26",26,NA,38.950812,-2.544786,"2013-07-11 00:00:00","Albacete"
"Privada","Vitalparque","Calle Casas-Ibáñez 39","02005","Albacete","967 21 31 30",252,"www.vitalparque.com",39.009974,-1.862193,"2019-04-03 00:00:00","Albacete"
"Pública autonómica","Residencia de Mayores Núñez de Balboa","Calle Vasco Núñez de Balboa 7","02001","Albacete","967 21 33 83",201,NA,38.995103,-1.844501,"2019-04-08 00:00:00","Albacete"
"Privada","Residencia de Mayores Los Álamos de Santa Gemma","Carretera Peñas de San Pedro Km. 2","02006","Albacete","967 59 05 45",183,"www.losalamos.eu",38.968601,-1.873377,"2019-04-19 00:00:00","Albacete"
"Pública local","Vivienda municipal de mayores","Paseo de la Libertad 3","02637","Fuensanta","967 44 78 24",10,"viviendatuteladadefuensanta.blogspot.com.es/",39.245525,-2.068288,"2019-11-01 00:00:00","Albacete"
"Pública local","Vivienda municipal de Villarrobledo","Calle Tinajeros 42","02600","Villarrobledo","967 14 62 64",10,NA,39.270469,-2.607196,"2019-04-25 00:00:00","Albacete"
"Privada","Residencia de Mayores Ribera del Júcar","Calle Berrocal s/n","02210","Alcalá del Júcar","967 47 41 57",64,NA,39.197975,-1.425135,"2019-04-17 00:00:00","Albacete"
"Privada","Residencia de Mayores Nuestra Señora de Cortes","Calle Historiador Marco Hidalgo s/n","02300","Alcaraz","967 38 04 29",45,"www.fundaciondiagrama.es/sociosanitario/dependencia/residencia-mayores",38.668914,-2.489158,"2019-04-03 00:00:00","Albacete"
"Pública local","Residencia de 3ª Edad","Calle Pascual Faura 3","02200","Casas-Ibáñez","967 46 07 00 / 967 46 11 20",43,"www.sercoama.com",39.2866,-1.470777,"2019-04-15 00:00:00","Albacete"
"Pública autonómica","Residencia de Mayores Alábega","Calle Arquitectura 1","02008","Albacete","967 55 00 36",120,"serviger.es/centros/albacete/centro-serviger-en-albacete",38.977639,-1.849934,"2017-09-14 00:00:00","Albacete"
"Privada sin fin de lucro","Residencia - Asilo de San Antón","Barrio Doctor Beltrán Mateos 1","02002","Albacete","967 22 25 68",130,NA,38.984623,-1.851784,"2018-04-06 00:00:00","Albacete"
"Privada","Residencia Parroquial de 3ª Edad Santa Mónica","Calle Mayor 33","02320","Balazote","967 36 04 26",51,NA,38.884286,-2.151446,"2017-09-11 00:00:00","Albacete"
"Pública autonómica","Residencia de mayores Las Hazas","Carretera de Agra s/n - Paraje Las Hazas","02400","Hellín","967 30 29 81",160,"www.amavir.es/residencia-de-ancianos-albacete-amavir-las-hazas",38.48901,-1.708989,"2019-04-03 00:00:00","Albacete"
"Privada","Residencia Nuestra Señora de la Caridad","Paseo de la Virgen s/n","02600","Villarrobledo","967 14 00 87",72,"residenciavillarrobledo.es",39.272742,-2.605259,"2019-04-05 00:00:00","Albacete"
"Pública autonómica","Residencia de Mayores El Castillo","Calle Hellín 2","02640","Almansa","967 31 88 01",59,NA,38.862364,-1.090931,"2019-04-04 00:00:00","Albacete"
"Privada","Residencia de Mayores La Manchuela","Calle Cubas 2","02151","Casas de Juan Núñez","967 40 62 03 / 967 40 62 04",29,"www.quironsalud.es/es/red-centros/residencia-manchuela",39.102543,-1.558257,"2019-04-05 00:00:00","Albacete"
"Privada sin fin de lucro","Residencia San José","Calle Corredera 117","02640","Almansa","967 34 01 03",80,NA,38.862385,-1.088361,"2017-09-15 00:00:00","Albacete"
"Privada","Residencia de Ancianos San Juan Evangelista","Calle El Molino 113","02660","Caudete","965 82 70 76",79,NA,38.707425,-0.984032,"2018-04-06 00:00:00","Albacete"
"Privada sin fin de lucro","Residencia de Ancianos La Milagrosa","Avenida Joaquín Piqueras 2","02650","Montealegre del Castillo","967 33 61 61 / 967 33 60 18",61,NA,38.789874,-1.324629,"2015-05-06 00:00:00","Albacete"
"Privada","Residencia de Mayores María del Buen Suceso","Camino Real 6","02110","Gineta (La)","967 27 50 92",54,NA,39.117877,-2.00155,"2013-07-18 00:00:00","Albacete"
"Pública local","Residencia Municipal de Mayores Virgen de los Remedios","Calle Pedro Carrasco Bravo 4","02630","Roda (La)","967 44 00 51",45,NA,39.207297,-2.158886,"2019-04-08 00:00:00","Albacete"
"Privada","Residencia de mayores San Bartolomé","Calle Jacinto Guerrero 25","02100","Tarazona de la Mancha","967 54 40 10 / 648 18 39 60 / 648 18 39 61",152,"www.grupocentenari.com/es/-1/Albacete.html",39.25833,-1.915171,"2015-05-06 00:00:00","Albacete"
"Privada","Gerovida Tobarra","Calle Pérez Pastor 36","02500","Tobarra","967 54 36 40 / 967 54 36 43",160,"gerovida.es/centros/albacete/centro-gerovida-en-tobarra",38.591227,-1.68595,"2017-09-08 00:00:00","Albacete"
"Pública provincial","Residencia Asistida San Vicente de Paúl","Calle Alcalde Conangla 44","02001","Albacete","967 52 42 00",134,NA,38.993973,-1.848711,"2019-04-03 00:00:00","Albacete"
"Privada","Residencia de Mayores La Esperanza","Calle Navas 2","02240","Mahora","967 49 43 52",48,"www.residenciasalcalamahora.es",39.210895,-1.721437,"2019-04-04 00:00:00","Albacete"
"Pública local","Vivienda tutelada de Pozohondo","Calle Parque 6","02141","Pozohondo","967 20 50 01",8,NA,38.719486,-1.909118,"2015-02-18 00:00:00","Albacete"
"Privada","Residencia de Mayores Fonda Oriental","Avenida Juan García González 60","02630","Roda (La)","967 54 86 88",176,"www.fondaoriental.com",39.199844,-2.162565,"2017-09-13 00:00:00","Albacete"
"Pública local","Viviendas Tuteladas de Mayores de Villamalea","Calle Mercedes 9","02270","Villamalea","967 48 60 83",10,NA,39.359377,-1.594126,"2013-07-25 00:00:00","Albacete"
"Pública local","Vivienda Tutelada de Mayores de Munera","Calle Bonifacio Sotos 2","02612","Munera","967 37 20 01 / 967 37 31 63",8,NA,39.039656,-2.483062,"2019-04-03 00:00:00","Albacete"
"Pública autonómica","Residencia de mayores Los Quiñones","Calle Eras 4","02315","Vianos","967 38 04 09 / 680 93 01 61",16,NA,38.633351,-2.502345,"2019-04-09 00:00:00","Albacete"
"Pública local","Vivienda Tutelada de Alpera","Plaza del Ayuntamiento 14","02690","Alpera","967 33 05 96",10,NA,38.959924,-1.22996,"2019-04-03 00:00:00","Albacete"
"Pública autonómica","Residencia de Mayores Paseo de la Cuba","Paseo de la Cuba 39","02006","Albacete","967 52 34 97",220,NA,39.006769,-1.861577,"2019-04-03 00:00:00","Albacete"
"Pública autonómica","Residencia Alcabala","Calle Escritor Camilo José Cela 2","02008","Albacete","967 19 37 90",120,NA,38.994447,-1.842896,"2019-04-04 00:00:00","Albacete"
"Privada","Residencia de Ancianos Fundación Honorato Fernandez","Carretera de Hellín 33","02480","Yeste","967 43 10 26",29,NA,38.368616,-2.315623,"2019-04-05 00:00:00","Albacete"
"Pública local","Residencia de Mayores Noguera del Arco","Calle Pintor Pareja 7","02435","Socovos","967 42 09 09",30,NA,38.331364,-1.98518,"2019-04-03 00:00:00","Albacete"
