,Titularidad,Nombre,Dirección,CP,Municipio,Teléfono,Plazas,URL,Latitud,Longitud,Actualizado,Provincia,geometry
27,Privada,Vivienda comunitaria Mikelats,Calle Agurain 3,1240.0,Alegría-Dulantzi,945 40 07 34,11.0,,42.842321000000005,-2.5150959999999998,19-07-20 00:14:44,Álava,POINT (-2.515096 42.84232100000001)
28,Privada,"Residencia Lorea - Txagorritxu, S. L.",Calle José Achotegui 26 - 1º A,1009.0,Vitoria-Gasteiz,945 22 79 89,23.0,,42.85651,-2.6889979999999998,9-04-20 00:14:44,Álava,POINT (-2.688998 42.85651)
29,Pública provincial,Residencia San Roque,Calle Zumalakarregi 63,1400.0,Laudio/Llodio,946 72 97 50,50.0,,43.140861,-2.965925,3-04-20 00:14:44,Álava,POINT (-2.965925 43.140861)
30,Pública local,Apartamentos tutelados de mayores Ramiro de Maeztu,Calle Ramiro de Maeztu 21,1008.0,Vitoria-Gasteiz,945 16 11 80,26.0,www.vitoria-gasteiz.org/we001/was/we001Action.do?idioma=es&aplicacion=wb021&tabla=contenido&uid=_21361ee7_1243262b4bb__7fbf,42.849593,-2.678348,7-07-20 00:14:44,Álava,POINT (-2.678348 42.849593)
31,Pública local,Residencia de mayores Arquillos,Paseo de los Arquillos 11,1001.0,Vitoria-Gasteiz,945 16 11 40 / 945 16 11 41,21.0,,42.84734,-2.671232,8-04-20 00:14:44,Álava,POINT (-2.671232 42.84734)
32,Privada,Residencia Agure Ricallor,Calle Bulevard de Salbura 54 - 56 bajo,1003.0,Vitoria-Gasteiz,945 10 90 90,17.0,,42.843856,-2.650214,7-02-20 00:14:44,Álava,POINT (-2.650214 42.843856)
33,Privada,Residencia Tagore,Paseo de Berlín 15 A,1002.0,Vitoria-Gasteiz,945 13 06 69,48.0,www.residenciatagore.com,42.855641999999996,-2.650598,10-05-20 00:14:44,Álava,POINT (-2.650598 42.855642)
34,Privada,Vivienda comunitaria María Teresa Landa,Avenida Nuestra Señora de Estíbaliz 16 - bajo,1003.0,Vitoria-Gasteiz,945 27 78 84 / 686 48 39 90,12.0,,42.843857,-2.6637310000000003,22-04-20 00:14:44,Álava,POINT (-2.663731 42.843857)
35,Privada,Residencia LOVI,Calle Elorriaga 46 - bajo,1192.0,Vitoria-Gasteiz,945 27 02 63,36.0,,42.849624,-2.642058,8-04-20 00:14:44,Álava,POINT (-2.642058 42.849624)
36,Privada,Residencia Arcaya,NA Arcaya 19,1193.0,Vitoria-Gasteiz,945 29 31 63,22.0,,42.841421999999994,-2.634129,9-04-20 00:14:44,Álava,POINT (-2.634129 42.84142199999999)
37,Pública local,Vivienda comunitaria de Asparrena,Calle Herriko Enparantza 12,1250.0,Asparrena,945 31 45 47,12.0,www.asparrena.eus/servicios-sociales/vivienda-comunitaria-protegida,42.889579,-2.317494,14-03-20 00:14:44,Álava,POINT (-2.317494 42.889579)
38,Privada,Vivienda comunitaria Santa Clara,Calle Manuel Iradier 27 - 1º D,1005.0,Vitoria-Gasteiz,945 13 15 56,7.0,,42.842110999999996,-2.6707650000000003,18-02-20 00:14:44,Álava,POINT (-2.670765 42.842111)
39,Privada,Residencia Ariñez,Calle Entzia 26,1195.0,Vitoria-Gasteiz,945 35 41 46,58.0,www.arinezresidencia.com,42.826368,-2.7551240000000004,3-04-20 00:14:44,Álava,POINT (-2.755124 42.826368)
40,Pública provincial,Residencia Txagorritxu,Calle Méjico 11,1009.0,Vitoria-Gasteiz,945 24 49 00,150.0,,42.853371,-2.687826,10-04-20 00:14:44,Álava,POINT (-2.687826 42.853371)
41,Privada,Vivienda comunitaria Otazu,NA Otazu 37,1194.0,Vitoria-Gasteiz,945 29 35 56,14.0,www.residenciaotazu.com,42.831077,-2.6283830000000004,15-04-20 00:14:44,Álava,POINT (-2.628383 42.831077)
42,Privada,Residencia Roure,Calle Jerónimo Roure 26 - bajo,1010.0,Vitoria-Gasteiz,945 30 35 21,24.0,www.residenciaroure.com,42.851185,-2.6947240000000003,9-04-20 00:14:44,Álava,POINT (-2.694724 42.851185)
43,Pública local,Centro integral de atención a mayores San Prudencio,Calle Francia 35,1002.0,Vitoria-Gasteiz,945 16 17 05,171.0,,42.849715,-2.669361,10-07-20 00:14:44,Álava,POINT (-2.669361 42.849715)
44,Privada,Vivienda comunitaria Estíbaliz,Calle Los Herrán 1 - 1º izda.,1002.0,Vitoria-Gasteiz,945 28 39 01,5.0,,42.843292,-2.664621,18-02-20 00:14:44,Álava,POINT (-2.664621 42.843292)
45,Pública provincial,Residencia Zadorra,Calle Iturrizabala 50,1013.0,Vitoria-Gasteiz,945 27 39 67,100.0,,42.876962,-2.6775279999999997,9-04-20 00:14:44,Álava,POINT (-2.677528 42.876962)
46,Pública local,Residencia de mayores Aurora,Calle Correría 56 - 58,1001.0,Vitoria-Gasteiz,945 16 11 76 / 945 16 11 77,41.0,www.vitoria-gasteiz.org/we001/was/we001Action.do?aplicacion=wb021&tabla=contenido&idioma=es&uid=_21361ee7_1243262b4bb__7f95,42.848323,-2.6735580000000003,5-04-20 00:14:44,Álava,POINT (-2.673558 42.848323)
47,Privada,Vivienda comunitaria Ikatzbizi,Avenida Reina Sofía 110 - bajo,1015.0,Vitoria-Gasteiz,945 24 42 26,14.0,,42.841594,-2.70208,1-06-20 00:14:44,Álava,POINT (-2.70208 42.841594)
48,Pública provincial,Residencia San Antón de Armuru,Calle Intxaurdio 3,1470.0,Amurrio,945 89 10 11,40.0,,43.055627,-2.998724,23-04-20 00:14:44,Álava,POINT (-2.998724 43.055627)
49,Privada,Residencia Aitoa Etxea,"Calle Pedro Asúa 53 - 55, 1º dcha. e izda.",1008.0,Vitoria-Gasteiz,945 22 76 87,19.0,,42.846446,-2.6904619999999997,23-04-20 00:14:44,Álava,POINT (-2.690462 42.846446)
50,Privada,Residencia Elorri,Calle Elorriaga 42,1192.0,Vitoria-Gasteiz,945 20 47 24,39.0,,42.849778,-2.639965,6-07-20 00:14:44,Álava,POINT (-2.639965 42.849778)
51,Privada,Residencia Casa Vasca,Calle Elorriaga 21 A,1192.0,Vitoria-Gasteiz,945 33 65 22,16.0,,42.851694,-2.63919,10-07-20 00:14:44,Álava,POINT (-2.63919 42.851694)
52,Privada,Residencia Villodas,Calle Iruña 13,1195.0,Iruña Oka/Iruña de Oca,945 36 40 95,23.0,www.arinezresidencia.com,42.835305,-2.784751,3-04-20 00:14:44,Álava,POINT (-2.784751 42.835305)
53,Privada,Residencia Lakua,Calle Portal de Foronda 15 - bajo,1010.0,Vitoria-Gasteiz,945 06 86 11,16.0,,42.860671,-2.683618,9-05-20 00:14:44,Álava,POINT (-2.683618 42.860671)
54,Privada,Residencia Zelaizabal,Calle Arkaute 24,1192.0,Vitoria-Gasteiz,945 27 29 47,26.0,residenciazelaizabal.com,42.850644,-2.634362,9-04-20 00:14:44,Álava,POINT (-2.634362 42.850644)
55,Privada,Vivienda comunitaria Ullibarri Arrazua,Calle Ullibarri - Arrazua 27,1520.0,Vitoria-Gasteiz,945 29 34 17,11.0,www.residenciaullibarri.com,42.887326,-2.592633,8-04-20 00:14:44,Álava,POINT (-2.592633 42.887326)
56,Pública local,Apartamentos Blas de Otero,Calle Amadis 1,1010.0,Vitoria-Gasteiz,945 16 16 67,33.0,www.vitoria-gasteiz.org/we001/was/we001Action.do?idioma=es&aplicacion=wb021&tabla=contenido&uid=_21361ee7_1243262b4bb__7fbf,42.862258000000004,-2.687452,8-05-20 00:14:44,Álava,POINT (-2.687452 42.862258)
57,Privada,Vivienda comunitaria 3ª edad Residencia Panticosa,NA Astegieta 4,1191.0,Vitoria-Gasteiz,945 25 60 51,9.0,,42.861385,-2.73121,18-04-20 00:14:44,Álava,POINT (-2.73121 42.861385)
58,Pública local,Apartamentos tutelados de mayores Aurora,Calle Correría 57,1001.0,Vitoria-Gasteiz,945 16 11 81,15.0,www.vitoria-gasteiz.org/we001/was/we001Action.do?idioma=es&aplicacion=wb021&tabla=contenido&uid=_21361ee7_1243262b4bb__7fbf,42.848354,-2.673664,7-07-20 00:14:44,Álava,POINT (-2.673664 42.848354)
59,Privada,Vivienda comunitaria Aitona,Calle Río Urederra 33,1010.0,Vitoria-Gasteiz,945 19 74 35,9.0,,42.867906,-2.7020560000000002,23-04-20 00:14:44,Álava,POINT (-2.702056 42.867906)
60,Privada,Vivienda comunitaria Mikel Anitua,Calle Bide Zaharra 10,1240.0,Alegría-Dulantzi,945 40 09 59,14.0,,42.839502,-2.512326,17-04-20 00:14:44,Álava,POINT (-2.512326 42.839502)
61,Privada,Residencia 3ª edad San Francisco Javier,Calle Parrate 8,1520.0,Arratzua-Ubarrundia,945 29 99 33 / 616 47 14 91,14.0,www.residencia-ancianos-alava.es/residencial.html,42.917264,-2.61726,12-07-20 00:14:44,Álava,POINT (-2.61726 42.917264)
62,Privada,Residencia Agure Zabalgana,Calle Océano Atlántico 29 - 35,1010.0,Vitoria-Gasteiz,945 10 77 88,25.0,,42.849409,-2.700431,8-04-20 00:14:44,Álava,POINT (-2.700431 42.849409)
63,Pública local,Apartamentos Santa María de Olárizu,Calle Juan Bautista Gámiz 10 - 12,1006.0,Vitoria-Gasteiz,945 16 11 85,64.0,www.vitoria-gasteiz.org/we001/was/we001Action.do?idioma=es&aplicacion=wb021&tabla=contenido&uid=_21361ee7_1243262b4bb__7fbf,42.838545,-2.664252,4-04-20 00:14:44,Álava,POINT (-2.664252 42.838545)
64,Privada,Residencia Geriátrica Gaztelu,Calle Isarte 16,1206.0,Barrundia,945 30 70 59,19.0,www.residenciageriatricagaztelu.com,42.87005,-2.500426,14-03-20 00:14:44,Álava,POINT (-2.500426 42.87005)
65,Privada,Residencia Betania Garden,Calle Gardelegui 24,1194.0,Vitoria-Gasteiz,945 71 61 80,24.0,,42.824514,-2.676992,10-05-20 00:14:44,Álava,POINT (-2.676992 42.824514)
66,Privada,Residencia Jesús Guridi,Calle San Prudencio 9 - 1º dcha.,1007.0,Vitoria-Gasteiz,945 23 25 62,16.0,,42.844194,-2.673061,29-04-20 00:14:44,Álava,POINT (-2.673061 42.844194)
67,Pública provincial,Residencia Sallurtegi,Calle Lapurdi 7,1200.0,Agurain/Salvatierra,945 31 24 41,50.0,,42.851977000000005,-2.3875610000000003,21-06-20 00:14:44,Álava,POINT (-2.387561 42.85197700000001)
68,Privada,Residencia Perpetuo Socorro de Rivabellosa,Calle Postas 34,1213.0,Ribera Baja/Erribera Beitia,945 35 50 92,34.0,,42.712269,-2.914498,20-09-20 00:14:44,Álava,POINT (-2.914498 42.712269)
69,Privada,Vivienda comunitaria Araba,Kalea Brasil 6 - 1º,1012.0,Vitoria-Gasteiz,945 27 02 97,10.0,,42.858901,-2.678583,18-02-20 00:14:44,Álava,POINT (-2.678583 42.858901)
70,Privada,Vivienda Comunitaria San Esteban de Betoño,Calle Legazpi 62 - bajo,1013.0,Vitoria-Gasteiz,945 25 52 06,14.0,,42.862451,-2.654512,16-04-20 00:14:44,Álava,POINT (-2.654512 42.862451)
71,Pública local,Vivienda comunitaria de Espejo,Calle Saturnina Salazar s/n,1423.0,Valdegovía/Gaubea,945 35 12 17,10.0,www.araba.eus/cs/Satellite?c=IFBS_Centro_FA&cid=500002153380&pageid=500002131323&pagename=IFBS%2FIFBS_Centro_FA%2FIFBS_centro,42.809474,-3.048538,9-05-20 00:14:44,Álava,POINT (-3.048538 42.809474)
72,Pública provincial,Residencia Ajuria,Calle Serafín Ajuria 4,1008.0,Vitoria-Gasteiz,945 22 53 50,108.0,www.araba.eus/cs/Satellite?c=IFBS_Centro_FA&cid=500002154406&language=es_ES&pageid=500002131297&pagename=IFBS%2FIFBS_Centro_FA%2FIFBS_centro,42.849196,-2.6844770000000002,8-04-20 00:14:44,Álava,POINT (-2.684477 42.849196)
73,Pública provincial,Vivienda comunitaria psicogeriátrica,Calle Pablo Neruda 5,1009.0,Vitoria-Gasteiz,945 22 54 31,14.0,,42.852837,-2.690153,10-04-20 00:14:44,Álava,POINT (-2.690153 42.852837)
74,Privada,Residencia Maskuribai,Calle Maskuribai 7 C,1470.0,Amurrio,945 06 62 12 / 945 06 62 10 / 629 56 57 05,15.0,,43.048857,-2.999902,16-05-20 00:14:44,Álava,POINT (-2.999902 43.048857)
75,Privada,Residencia Gorbea,Carretera de Domaiquia 8,1130.0,Zuia,945 43 04 45,68.0,www.residenciagorbea.com,42.953872,-2.817402,30-04-20 00:14:44,Álava,POINT (-2.817402 42.953872)
76,Pública local,Apartamentos tutelados de mayores Bizia,Calle Pablo Neruda 1 - 3,1009.0,Vitoria-Gasteiz,945 16 11 79,24.0,www.vitoria-gasteiz.org/we001/was/we001Action.do?idioma=es&aplicacion=wb021&tabla=contenido&uid=_21361ee7_1243262b4bb__7fbf,42.852644,-2.6892169999999997,9-05-20 00:14:44,Álava,POINT (-2.689217 42.852644)
77,Pública provincial,Centro de atención a personas mayores Ariznabarra,Calle Teodoro González de Zárate 14,1007.0,Vitoria-Gasteiz,945 15 09 60,140.0,www.domusvi.es/residencia-mayores-alava-vitoria-gasteiz-ariznabarra,42.839684000000005,-2.695582,4-06-20 00:14:44,Álava,POINT (-2.695582 42.83968400000001)
78,Pública local,Vivienda comunitaria Los Molinos,Calle Los Molinos 2,1006.0,Vitoria-Gasteiz,945 16 16 20 / 945 16 16 21,30.0,,42.836913,-2.663539,8-04-20 00:14:44,Álava,POINT (-2.663539 42.836913)
79,Privada,Residencia Hogar Larrea,Barrio Etxebiarte 2,1208.0,Barrundia,945 30 72 02 / 646 75 28 40,14.0,www.residenciahogarlarrea.com,42.91783,-2.459014,7-02-20 00:14:44,Álava,POINT (-2.459014 42.91783)
80,Privada,Vivienda comunitaria Zabalbide,Calle Ugarte 10 - bajo,1440.0,Urkabustaiz,,14.0,,42.952195,-2.898444,10-06-20 00:14:44,Álava,POINT (-2.898444 42.952195)
81,Privada,Residencia Orobide,Calle Domingo de Sautu 54,1130.0,Zuia,945 43 09 31,43.0,,42.957114000000004,-2.824688,14-02-20 00:14:44,Álava,POINT (-2.824688 42.957114)
82,Privada,Residencia Zubitxu,Calle Zubitxu 4,1207.0,San Millán/Donemiliaga,945 30 19 28,24.0,www.residenciazubitxu.com,42.836273,-2.4558720000000003,4-04-20 00:14:44,Álava,POINT (-2.455872 42.836273)
83,Privada,Residencia Alday,Barrio La Llana 6,1476.0,Ayala/Aiara,945 39 90 23,38.0,,43.075379,-3.0414830000000004,4-04-20 00:14:44,Álava,POINT (-3.041483 43.075379)
84,Privada,Residencia La Encina Artziniega,Calle Puerta de la Villa 2,1474.0,Artziniega,945 39 69 08,52.0,www.residencialaencina.com,43.121269,-3.130705,5-04-20 00:14:44,Álava,POINT (-3.130705 43.121269)
85,Privada,Residencia El Jardín 2,Calle Kirkirgan 5,1140.0,Zigoitia,945 46 00 81,24.0,,42.914417,-2.711023,14-02-20 00:14:44,Álava,POINT (-2.711023 42.914417)
86,Privada,Residencia Aiara,Calle Irabien 10,1409.0,Okondo,945 89 80 61,22.0,,43.158868,-3.026302,11-07-20 00:14:44,Álava,POINT (-3.026302 43.158868)
87,Privada,Hospital de Cuidados San Onofre,Calle Salvatierrabide 9,1007.0,Vitoria-Gasteiz,945 14 21 00,62.0,www.hospitalsanonofre.com,42.836937,-2.680485,11-04-20 00:14:44,Álava,POINT (-2.680485 42.836937)
88,Privada,Vivienda comunitaria Murua,Calle Telleria 6,1138.0,Zigoitia,945 22 52 26,8.0,residenciamurua.com,42.977737,-2.7360290000000003,18-04-20 00:14:44,Álava,POINT (-2.736029 42.977737)
89,Privada,Caser Residencial Alto del Prado,Camino Alto del Prado s/n,1007.0,Vitoria-Gasteiz,945 15 42 15,158.0,www.caseresidencial.es/alto-del-prado,42.837209,-2.6922669999999997,4-04-20 00:14:44,Álava,POINT (-2.692267 42.837209)
90,Privada,Residencia Albertia Campus,Calle Nieves Cano 29 C - bajo dcha.,1006.0,Vitoria-Gasteiz,945 77 89 16,46.0,www.albertiacentros.com,42.838427,-2.6715299999999997,4-04-20 00:14:44,Álava,POINT (-2.67153 42.838427)
91,Pública local,Vivienda comunitaria San Mamés Etxea,Camino de Etxegoien 17 - bajo,1470.0,Amurrio,945 89 24 13,8.0,,43.050186,-3.0068479999999997,13-03-20 00:14:44,Álava,POINT (-3.006848 43.050186)
92,Pública local,Apartamentos para mayores San Antonio,Calle San Antonio 28,1005.0,Vitoria-Gasteiz,945 16 11 83,26.0,www.vitoria-gasteiz.org/we001/was/we001Action.do?idioma=es&aplicacion=wb021&tabla=contenido&uid=_21361ee7_1243262b4bb__7fbf,42.842139,-2.674579,15-07-20 00:14:44,Álava,POINT (-2.674579 42.842139)
93,Privada,Residencia de Mayores Don Quijote,Calle Cervantes 2,2250.0,Abengibre,967 47 15 64,57.0,www.sercoama.com,39.211071999999994,-1.5438610000000001,2019-04-16 00:00:00,Albacete,POINT (-1.543861 39.21107199999999)
94,Pública autonómica,Residencia de mayores El Robledillo,Avenida de La Mancha 3,2600.0,Villarrobledo,967 13 78 25,120.0,residencias.ilunion.com/servicios/centros-de-dia-estancias-diurnas/castilla-la-mancha-albacete/villarrobledo-residencia-para,39.2698,-2.61895,2019-04-08 00:00:00,Albacete,POINT (-2.61895 39.2698)
95,Pública autonómica,Residencia La Paz,Avenida de la Constitución 59,2316.0,Salobre,967 39 32 92,43.0,,38.594891,-2.552516,2019-04-09 00:00:00,Albacete,POINT (-2.552516 38.594891)
96,Privada,Residencia de 3ª Edad Santa Teresa,Plaza de San Felipe Neri 2,2002.0,Albacete,967 51 14 34,60.0,www.residenciasantateresa.com,38.985346,-1.8566209999999999,2019-04-03 00:00:00,Albacete,POINT (-1.856621 38.985346)
97,Privada,Residencia Nuestra Señora del Carmen,Calle San Sebastián 1,2610.0,Bonillo (El),967 37 00 26,26.0,,38.950812,-2.544786,2013-07-11 00:00:00,Albacete,POINT (-2.544786 38.950812)
98,Privada,Vitalparque,Calle Casas-Ibáñez 39,2005.0,Albacete,967 21 31 30,252.0,www.vitalparque.com,39.009974,-1.862193,2019-04-03 00:00:00,Albacete,POINT (-1.862193 39.009974)
99,Pública autonómica,Residencia de Mayores Núñez de Balboa,Calle Vasco Núñez de Balboa 7,2001.0,Albacete,967 21 33 83,201.0,,38.995103,-1.844501,2019-04-08 00:00:00,Albacete,POINT (-1.844501 38.995103)
100,Privada,Residencia de Mayores Los Álamos de Santa Gemma,Carretera Peñas de San Pedro Km. 2,2006.0,Albacete,967 59 05 45,183.0,www.losalamos.eu,38.968601,-1.873377,2019-04-19 00:00:00,Albacete,POINT (-1.873377 38.968601)
101,Pública local,Vivienda municipal de mayores,Paseo de la Libertad 3,2637.0,Fuensanta,967 44 78 24,10.0,viviendatuteladadefuensanta.blogspot.com.es/,39.245525,-2.068288,2019-11-01 00:00:00,Albacete,POINT (-2.068288 39.245525)
102,Pública local,Vivienda municipal de Villarrobledo,Calle Tinajeros 42,2600.0,Villarrobledo,967 14 62 64,10.0,,39.270469,-2.607196,2019-04-25 00:00:00,Albacete,POINT (-2.607196 39.270469)
103,Privada,Residencia de Mayores Ribera del Júcar,Calle Berrocal s/n,2210.0,Alcalá del Júcar,967 47 41 57,64.0,,39.197975,-1.425135,2019-04-17 00:00:00,Albacete,POINT (-1.425135 39.197975)
104,Privada,Residencia de Mayores Nuestra Señora de Cortes,Calle Historiador Marco Hidalgo s/n,2300.0,Alcaraz,967 38 04 29,45.0,www.fundaciondiagrama.es/sociosanitario/dependencia/residencia-mayores,38.668914,-2.489158,2019-04-03 00:00:00,Albacete,POINT (-2.489158 38.668914)
105,Pública local,Residencia de 3ª Edad,Calle Pascual Faura 3,2200.0,Casas-Ibáñez,967 46 07 00 / 967 46 11 20,43.0,www.sercoama.com,39.2866,-1.470777,2019-04-15 00:00:00,Albacete,POINT (-1.470777 39.2866)
106,Pública autonómica,Residencia de Mayores Alábega,Calle Arquitectura 1,2008.0,Albacete,967 55 00 36,120.0,serviger.es/centros/albacete/centro-serviger-en-albacete,38.977639,-1.849934,2017-09-14 00:00:00,Albacete,POINT (-1.849934 38.977639)
107,Privada sin fin de lucro,Residencia - Asilo de San Antón,Barrio Doctor Beltrán Mateos 1,2002.0,Albacete,967 22 25 68,130.0,,38.984623,-1.851784,2018-04-06 00:00:00,Albacete,POINT (-1.851784 38.984623)
108,Privada,Residencia Parroquial de 3ª Edad Santa Mónica,Calle Mayor 33,2320.0,Balazote,967 36 04 26,51.0,,38.884285999999996,-2.151446,2017-09-11 00:00:00,Albacete,POINT (-2.151446 38.884286)
109,Pública autonómica,Residencia de mayores Las Hazas,Carretera de Agra s/n - Paraje Las Hazas,2400.0,Hellín,967 30 29 81,160.0,www.amavir.es/residencia-de-ancianos-albacete-amavir-las-hazas,38.48901,-1.7089889999999999,2019-04-03 00:00:00,Albacete,POINT (-1.708989 38.48901)
